Laikas,Rinkinys,Diena,Uzduotis,Jores Atsakymas,Teisingas Atsakymas,Režimas,Užduotis,Klausimas,Vaiko atsakymas,Teisingas atsakymas,Rezultatas,Sesija
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173107
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173107
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173107
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173107
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173109
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173109
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173109
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173109
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173109
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173109
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173110
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173110
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173110
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173110
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173110
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173110
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173112
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173112
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173112
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173112
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173112
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173112
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173114
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173114
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173114
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173114
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173114
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173114
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173115
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173115
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173115
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173115
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173115
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173115
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173116
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173117
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173118
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173119
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173119
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173119
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173119
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173119
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173119
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173119
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173119
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173119
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 8.00€. Perki sumuštinį už 2.65€. Kiek liks?,5.35,5.35,True,20260514-173119
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 16.40€. Perki žaidimą už 7.90€. Kiek liko?,8.50,8.50,True,20260514-173119
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Matematika: Pinigai ir grąža,Turi 40.00€. Perki dviratį aksesuarą už 22.75€. Kiek liko?,17.25,17.25,True,20260514-173119
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 1 sakinį su žodžiu 'Quick':,I am quick.,,True,20260514-173119
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 2 sakinį su žodžiu 'Quick':,I draw quickly.,,True,20260514-173119
2026-05-14 17:31,Rinkinys 7,Ketvirtadienis,,,,Pamokos,Anglų kalba: Naujas žodis 'Quick',Parašyk 3 sakinį su žodžiu 'Quick':,House burnd quick.,,True,20260514-173119
